Artist_Name,Album_Name,Genre,Track_Name,UnitPrice,InvoiceTrack_Price
AC/DC,For Those About To Rock We Salute You,Rock,For Those About To Rock (We Salute You),0.99,5.94
AC/DC,For Those About To Rock We Salute You,Rock,Put The Finger On You,0.99,3.96
AC/DC,For Those About To Rock We Salute You,Rock,Let's Get It Up,0.99,
AC/DC,For Those About To Rock We Salute You,Rock,Inject The Venom,0.99,3.96
AC/DC,For Those About To Rock We Salute You,Rock,Inject The Venom,0.99,8.91
AC/DC,For Those About To Rock We Salute You,Rock,Snowballed,0.99,5.94
AC/DC,For Those About To Rock We Salute You,Rock,Snowballed,0.99,8.91
AC/DC,For Those About To Rock We Salute You,Rock,Evil Walks,0.99,3.96
AC/DC,For Those About To Rock We Salute You,Rock,C.O.D.,0.99,
AC/DC,For Those About To Rock We Salute You,Rock,Breaking The Rules,0.99,3.96
AC/DC,For Those About To Rock We Salute You,Rock,Night Of The Long Knives,0.99,5.94
AC/DC,For Those About To Rock We Salute You,Rock,Spellbound,0.99,8.91
AC/DC,Let There Be Rock,Rock,Go Down,0.99,8.91
AC/DC,Let There Be Rock,Rock,Dog Eat Dog,0.99,5.94
AC/DC,Let There Be Rock,Rock,Let There Be Rock,0.99,
AC/DC,Let There Be Rock,Rock,Bad Boy Boogie,0.99,
AC/DC,Let There Be Rock,Rock,Problem Child,0.99,8.91
AC/DC,Let There Be Rock,Rock,Overdose,0.99,5.94
AC/DC,Let There Be Rock,Rock,Overdose,0.99,8.91
AC/DC,Let There Be Rock,Rock,Hell Ain't A Bad Place To Be,0.99,8.91
AC/DC,Let There Be Rock,Rock,Whole Lotta Rosie,0.99,
Accept,Balls to the Wall,Rock,Balls to the Wall,0.99,1.98
Accept,Balls to the Wall,Rock,Balls to the Wall,0.99,8.91
Accept,Restless and Wild,Rock,Fast As a Shark,0.99,8.91
Accept,Restless and Wild,Rock,Restless and Wild,0.99,1.98
Accept,Restless and Wild,Rock,Princess of the Dawn,0.99,5.94
Aerosmith,Big Ones,Rock,Walk On Water,0.99,
Aerosmith,Big Ones,Rock,Love In An Elevator,0.99,5.94
Aerosmith,Big Ones,Rock,Rag Doll,0.99,8.91
Aerosmith,Big Ones,Rock,What It Takes,0.99,8.91
Aerosmith,Big Ones,Rock,Dude (Looks Like A Lady),0.99,
Aerosmith,Big Ones,Rock,Janie's Got A Gun,0.99,5.94
Aerosmith,Big Ones,Rock,Cryin',0.99,
Aerosmith,Big Ones,Rock,Amazing,0.99,13.86
Aerosmith,Big Ones,Rock,Blind Man,0.99,8.91
Aerosmith,Big Ones,Rock,Deuces Are Wild,0.99,5.94
Aerosmith,Big Ones,Rock,Deuces Are Wild,0.99,8.91
Aerosmith,Big Ones,Rock,The Other Side,0.99,
Aerosmith,Big Ones,Rock,Crazy,0.99,
Aerosmith,Big Ones,Rock,Eat The Rich,0.99,
Aerosmith,Big Ones,Rock,Angel,0.99,5.94
Aerosmith,Big Ones,Rock,Livin' On The Edge,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,All I Really Want,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,You Oughta Know,0.99,13.86
Alanis Morissette,Jagged Little Pill,Rock,Perfect,0.99,
Alanis Morissette,Jagged Little Pill,Rock,Hand In My Pocket,0.99,
Alanis Morissette,Jagged Little Pill,Rock,Right Through You,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,Forgiven,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,You Learn,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,Head Over Feet,0.99,
Alanis Morissette,Jagged Little Pill,Rock,Mary Jane,0.99,
Alanis Morissette,Jagged Little Pill,Rock,Ironic,0.99,
Alanis Morissette,Jagged Little Pill,Rock,Not The Doctor,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,Not The Doctor,0.99,13.86
Alanis Morissette,Jagged Little Pill,Rock,Wake Up,0.99,8.91
Alanis Morissette,Jagged Little Pill,Rock,You Oughta Know (Alternate),0.99,
Alice In Chains,Facelift,Rock,We Die Young,0.99,
Alice In Chains,Facelift,Rock,Man In The Box,0.99,
Alice In Chains,Facelift,Rock,Sea Of Sorrow,0.99,13.86
Alice In Chains,Facelift,Rock,Bleed The Freak,0.99,8.91
Alice In Chains,Facelift,Rock,I Can't Remember,0.99,8.91
Alice In Chains,Facelift,Rock,"Love, Hate, Love",0.99,
Alice In Chains,Facelift,Rock,It Ain't Like That,0.99,13.86
Alice In Chains,Facelift,Rock,Sunshine,0.99,
Alice In Chains,Facelift,Rock,Put You Down,0.99,
Alice In Chains,Facelift,Rock,Confusion,0.99,8.91
Alice In Chains,Facelift,Rock,I Know Somethin (Bout You),0.99,8.91
Alice In Chains,Facelift,Rock,Real Thing,0.99,13.86
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Desafinado,0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Garota De Ipanema,0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Samba De Uma Nota Só (One Note Samba),0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Por Causa De Você,0.99,8.91
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Por Causa De Você,0.99,13.86
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Ligia,0.99,8.91
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Fotografia,0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Dindi (Dindi),0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Se Todos Fossem Iguais A Você (Instrumental),0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Falando De Amor,0.99,13.86
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Angela,0.99,8.91
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Corcovado (Quiet Nights Of Quiet Stars),0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,Outra Vez,0.99,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,O Boto (Bôto),0.99,13.86
Antônio Carlos Jobim,Warner 25 Anos,Jazz,"Canta, Canta Mais",0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Garota De Ipanema,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Tim Tim Por Tim Tim,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Tarde Em Itapoã,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Tarde Em Itapoã,0.99,0.99
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Tanto Tempo,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Tanto Tempo,0.99,1.98
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Eu Vim Da Bahia - Live,0.99,1.98
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Alô Alô Marciano,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Linha Do Horizonte,0.99,1.98
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Only A Dream In Rio,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Abrir A Porta,0.99,1.98
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Alice,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Momentos Que Marcam,0.99,3.96
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Um Jantar Pra Dois,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Bumbo Da Mangueira,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Bumbo Da Mangueira,0.99,3.96
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Mr Funk Samba,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Santo Antonio,0.99,3.96
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Por Você,0.99,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Só Tinha De Ser Com Você,0.99,13.86
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Só Tinha De Ser Com Você,0.99,3.96
Apocalyptica,Plays Metallica By Four Cellos,Metal,Enter Sandman,0.99,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Master Of Puppets,0.99,8.91
Apocalyptica,Plays Metallica By Four Cellos,Metal,Harvester Of Sorrow,0.99,
Apocalyptica,Plays Metallica By Four Cellos,Metal,The Unforgiven,0.99,13.86
Apocalyptica,Plays Metallica By Four Cellos,Metal,Sad But True,0.99,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Creeping Death,0.99,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Wherever I May Roam,0.99,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Welcome Home (Sanitarium),0.99,8.91
Apocalyptica,Plays Metallica By Four Cellos,Metal,Welcome Home (Sanitarium),0.99,13.86
Audioslave,Audioslave,Rock,Cochise,0.99,13.86
Audioslave,Audioslave,Rock,Show Me How to Live,0.99,
Audioslave,Audioslave,Rock,Gasoline,0.99,
Audioslave,Audioslave,Rock,What You Are,0.99,
Audioslave,Audioslave,Rock,Like a Stone,0.99,13.86
Audioslave,Audioslave,Rock,Set It Off,0.99,8.91
Audioslave,Audioslave,Rock,Shadow on the Sun,0.99,
Audioslave,Audioslave,Rock,I am the Highway,0.99,
Audioslave,Audioslave,Rock,Exploder,0.99,13.86
Audioslave,Audioslave,Rock,Hypnotize,0.99,13.86
Audioslave,Audioslave,Rock,Bring'em Back Alive,0.99,
Audioslave,Audioslave,Rock,Light My Way,0.99,
Audioslave,Audioslave,Rock,Getaway Car,0.99,
Audioslave,Audioslave,Rock,The Last Remaining Light,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,Your Time Has Come,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,Out Of Exile,0.99,
Audioslave,Out Of Exile,Alternative & Punk,Be Yourself,0.99,
Audioslave,Out Of Exile,Alternative & Punk,Doesn't Remind Me,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,Drown Me Slowly,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,Heaven's Dead,0.99,
Audioslave,Out Of Exile,Alternative & Punk,The Worm,0.99,
Audioslave,Out Of Exile,Alternative & Punk,Man Or Animal,0.99,
Audioslave,Out Of Exile,Alternative & Punk,Yesterday To Tomorrow,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,Dandelion,0.99,13.86
Audioslave,Out Of Exile,Alternative & Punk,#1 Zero,0.99,
Audioslave,Out Of Exile,Alternative & Punk,The Curse,0.99,
Audioslave,Revelations,Alternative,Revelations,0.99,
Audioslave,Revelations,Alternative,One and the Same,0.99,
Audioslave,Revelations,Alternative,Sound of a Gun,0.99,16.86
Audioslave,Revelations,Alternative,Until We Fall,0.99,15.86
Audioslave,Revelations,Alternative,Original Fire,0.99,
Audioslave,Revelations,Alternative,Broken City,0.99,
Audioslave,Revelations,Alternative,Somedays,0.99,
Audioslave,Revelations,Alternative,Shape of Things to Come,0.99,15.86
Audioslave,Revelations,Alternative,Jewel of the Summertime,0.99,
Audioslave,Revelations,Alternative,Wide Awake,0.99,
Audioslave,Revelations,Alternative,Nothing Left to Say But Goodbye,0.99,
Audioslave,Revelations,Alternative,Moth,0.99,16.86
Audioslave,Revelations,Alternative,Show Me How to Live (Live at the Quart Festival),0.99,15.86
Audioslave,Revelations,Alternative,"Band Members Discuss Tracks from ""Revelations""",0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,Money,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,Long Tall Sally,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,Bad Boy,0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,Twist And Shout,0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,Please Mr. Postman,0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,C'Mon Everybody,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,Rock 'N' Roll Music,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,Slow Down,0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,Roadrunner,0.99,
BackBeat,BackBeat Soundtrack,Rock And Roll,Carol,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,Good Golly Miss Molly,0.99,13.86
BackBeat,BackBeat Soundtrack,Rock And Roll,20 Flight Rock,0.99,
Billy Cobham,The Best Of Billy Cobham,Jazz,Quadrant,0.99,
Billy Cobham,The Best Of Billy Cobham,Jazz,Snoopy's search-Red baron,0.99,
Billy Cobham,The Best Of Billy Cobham,Jazz,"Spanish moss-""A sound portrait""-Spanish moss",0.99,13.86
Billy Cobham,The Best Of Billy Cobham,Jazz,Moon germs,0.99,13.86
Billy Cobham,The Best Of Billy Cobham,Jazz,Stratus,0.99,
Billy Cobham,The Best Of Billy Cobham,Jazz,The pleasant pheasant,0.99,
Billy Cobham,The Best Of Billy Cobham,Jazz,Solo-Panhandler,0.99,13.86
Billy Cobham,The Best Of Billy Cobham,Jazz,Do what cha wanna,0.99,13.86
